2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |     AIC          : 1378.56
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |     BIC          : 1447.43
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic | 
  Key structural coefficients (semi-log interpretation):
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |     surface             : β=0.0006 → +0.1% per unit ***
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |     rooms               : β=0.0740 → +7.7% per unit ***
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |     const               : β=7.0421 → +114281.3% per unit ***
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic | 
  Price Index (vente, base=2024-Q1=100):
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |   Period          Index           CI 95%        γ    p-val
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |   -------------------------------------------------------
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |   2024-Q1        100.00   [100.0–100.0]   0.0000  1.0000 
2026-06-09 23:07:18 | INFO     | analytics.hedonic.model:run_hedonic |   2026-Q2      114381.29   [109591.6–119380.3]   7.0421  0.0000 ***
2026-06-09 23:07:18 | SUCCESS  | analytics.hedonic.model:run_hedonic | [hedonic] RPPI saved → /Users/taha/Downloads/rppi_maroc/data/exports/rppi_vente_20260609.csv
2026-06-09 23:39:30 | INFO     | processing.cleaner:run_cleaning | === Phase 5: Data Cleaning Pipeline ===
2026-06-09 23:39:31 | INFO     | processing.cleaner:load_raw | [cleaner] Loaded 278 new raw rows
2026-06-09 23:39:31 | INFO     | processing.cleaner:remove_duplicates | [cleaner] Dedup: 278 → 278
2026-06-09 23:39:31 | INFO     | processing.cleaner:filter_outliers | [cleaner] Outlier filter: 278 → 97 with valid price
2026-06-09 23:39:31 | INFO     | processing.cleaner:run_cleaning | [cleaner] Valid records: 97 / 278
2026-06-09 23:39:31 | SUCCESS  | processing.cleaner:run_cleaning | [cleaner] Saved 97 records → /Users/taha/Downloads/rppi_maroc/data/clean/clean_20260609_2239.csv
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda | === Phase 6: Exploratory Data Analysis ===
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda | 
=======================================================
  Price distribution by city × transaction
=======================================================
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |   casablanca_inconnu: n=413 | median=753,000 DH | ppm2=2,426 DH/m²
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |   casablanca_location: n=282 | median=10,800 DH | ppm2=115 DH/m²
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |   casablanca_vente: n=267 | median=1,700,000 DH | ppm2=15,942 DH/m²
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |   marrakech_inconnu: n=345 | median=693,000 DH | ppm2=6,500 DH/m²
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |   marrakech_location: n=306 | median=12,000 DH | ppm2=105 DH/m²
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |   marrakech_vente: n=242 | median=1,925,000 DH | ppm2=16,833 DH/m²
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |   rabat_inconnu: n=221 | median=3,077,000 DH | ppm2=8,242 DH/m²
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |   rabat_location: n=394 | median=20,000 DH | ppm2=111 DH/m²
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |   rabat_vente: n=303 | median=5,500,000 DH | ppm2=19,318 DH/m²
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |   tanger_inconnu: n=297 | median=663,000 DH | ppm2=8,513 DH/m²
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |   tanger_location: n=376 | median=12,000 DH | ppm2=92 DH/m²
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |   tanger_vente: n=245 | median=2,016,000 DH | ppm2=15,896 DH/m²
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda | 
  Temporal analysis → /Users/taha/Downloads/rppi_maroc/data/exports/eda_temporal_20260609.csv
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |   Segmentation → /Users/taha/Downloads/rppi_maroc/data/exports/eda_segmentation_20260609.csv
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |   Quality report → /Users/taha/Downloads/rppi_maroc/data/exports/eda_quality_20260609.csv
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda | 
  Missing values summary:
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |     price                100.0% complete  ████████████████████
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |     surface               97.5% complete  ███████████████████
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |     rooms                 98.3% complete  ███████████████████
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |     property_type        100.0% complete  ████████████████████
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |     city                 100.0% complete  ████████████████████
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |     neighborhood          37.6% complete  ███████
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |     price_per_m2          96.1% complete  ███████████████████
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |     log_price            100.0% complete  ████████████████████
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |     year_quarter         100.0% complete  ████████████████████
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda | 
=======================================================
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |   Total listings analysed : 3,691
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |   Cities                  : 4
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |   Transaction types       : ['inconnu', 'location', 'vente']
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |   Property types          : 10
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |   Date range              : 2026-Q2 → 2026-Q2
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda |   Avg quality score       : 0.89
2026-06-09 23:39:43 | INFO     | analytics.eda.exploratory:run_eda | =======================================================
2026-06-09 23:39:43 | SUCCESS  | analytics.eda.exploratory:run_eda | [EDA] Phase 6 complete.
2026-06-09 23:50:40 | INFO     | processing.cleaner:run_cleaning | === Phase 5: Data Cleaning Pipeline ===
2026-06-09 23:50:40 | INFO     | processing.cleaner:load_raw | [cleaner] Loaded 3872 new raw rows
2026-06-09 23:50:40 | INFO     | processing.cleaner:remove_duplicates | [cleaner] Dedup: 3872 → 3872
2026-06-09 23:50:40 | INFO     | processing.cleaner:filter_outliers | [cleaner] Outlier filter: 3872 → 3357 with valid price
2026-06-09 23:50:41 | INFO     | processing.cleaner:run_cleaning | [cleaner] Valid records: 3357 / 3872
2026-06-09 23:50:43 | SUCCESS  | processing.cleaner:run_cleaning | [cleaner] Saved 3357 records → /Users/taha/Downloads/rppi_maroc/data/clean/clean_20260609_2250.csv
